sample1	sample2	chr	start	end	different	Nsnp
PH0051-Cx	PF0011-C	2	106099	862490	1	6316
PH0051-Cx	PF0011-C	3	70833	1003043	1	7566
PH0051-Cx	PF0020-C	1	92914	575873	1	4273
PH0051-Cx	PF0020-C	2	106099	862490	1	6316
PH0051-Cx	PF0020-C	3	70833	1003043	1	7566
PH0051-Cx	PF0022-C	1	92914	575873	1	4273
PH0051-Cx	PF0022-C	2	106099	862490	1	6316
PH0051-Cx	PF0022-C	3	70833	1003043	1	7566
PH0051-Cx	PF0025-C	1	92914	575873	1	4273
PH0051-Cx	PF0025-C	2	106099	862490	1	6316
PH0051-Cx	PF0025-C	3	70833	1003043	1	7566
PH0051-Cx	PF0028-C	1	92914	575873	1	4273
PH0051-Cx	PF0028-C	2	106099	862490	1	6316
PH0051-Cx	PF0028-C	3	70833	1003043	1	7566
PH0051-Cx	PF0031-C	1	92914	575873	1	4273
PH0051-Cx	PF0031-C	2	106099	862490	1	6316
PH0051-Cx	PF0031-C	3	70833	1003043	1	7566
PH0051-Cx	PF0032-C	1	92914	575873	1	4273
PH0051-Cx	PF0032-C	2	106099	862490	1	6316
PH0051-Cx	PF0032-C	3	70833	1003043	1	7566
PH0051-Cx	PF0035-C	1	92914	575873	1	4273
PH0051-Cx	PF0035-C	2	106099	862490	1	6316
PH0051-Cx	PF0035-C	3	70833	1003043	1	7566
PH0051-Cx	PF0037-C	1	92914	575873	1	4273
PH0051-Cx	PF0037-C	2	106099	862490	1	6316
PH0051-Cx	PF0037-C	3	70833	1003043	1	7566
PH0055-C	PF0008-C	1	92914	575873	1	4273
PH0055-C	PF0008-C	2	106099	862490	1	6316
PH0055-C	PF0008-C	3	70833	1003043	1	7566
PH0055-C	PF0011-C	1	92914	575873	1	4273
PH0055-C	PF0011-C	2	106099	862490	1	6316
PH0055-C	PF0011-C	3	70833	1003043	1	7566
PH0055-C	PF0020-C	1	92914	575873	1	4273
PH0055-C	PF0020-C	2	106099	862490	1	6316
PH0055-C	PF0020-C	3	70833	1003043	1	7566
PH0055-C	PF0022-C	1	92914	575873	1	4273
PH0055-C	PF0022-C	2	106099	862490	1	6316
PH0055-C	PF0022-C	3	70833	1003043	1	7566
PH0055-C	PF0025-C	1	92914	575873	1	4273
PH0055-C	PF0025-C	2	106099	862490	1	6316
PH0055-C	PF0025-C	3	70833	1003043	1	7566
PH0055-C	PF0028-C	1	92914	575873	1	4273
PH0055-C	PF0028-C	2	106099	862490	1	6316
PH0055-C	PF0028-C	3	70833	1003043	1	7566
PH0055-C	PF0031-C	1	92914	575873	1	4273
PH0055-C	PF0031-C	2	106099	862490	1	6316
PH0055-C	PF0031-C	3	70833	1003043	1	7566
PH0055-C	PF0032-C	1	92914	575873	1	4273
PH0055-C	PF0032-C	2	106099	862490	1	6316
PH0055-C	PF0032-C	3	70833	1003043	1	7566
PH0055-C	PF0035-C	1	92914	575873	1	4273
PH0055-C	PF0035-C	2	106099	862490	1	6316
PH0055-C	PF0035-C	3	70833	1003043	1	7566
PH0055-C	PF0037-C	1	92914	575873	1	4273
PH0055-C	PF0037-C	2	106099	862490	1	6316
PH0055-C	PF0037-C	3	70833	1003043	1	7566
PH0057-C	PF0008-C	1	92914	575873	1	4273
PH0057-C	PF0008-C	2	106099	862490	1	6316
PH0057-C	PF0008-C	3	70833	1003043	1	7566
PH0057-C	PF0011-C	1	92914	575873	1	4273
PH0057-C	PF0011-C	2	106099	862490	1	6316
PH0057-C	PF0011-C	3	70833	1003043	1	7566
PH0057-C	PF0020-C	1	92914	575873	1	4273
PH0057-C	PF0020-C	2	106099	862490	1	6316
PH0057-C	PF0020-C	3	70833	1003043	1	7566
PH0057-C	PF0022-C	1	92914	575873	1	4273
PH0057-C	PF0022-C	2	106099	862490	1	6316
PH0057-C	PF0022-C	3	70833	1003043	1	7566
PH0057-C	PF0025-C	1	92914	575873	1	4273
PH0057-C	PF0025-C	2	106099	862490	1	6316
PH0057-C	PF0025-C	3	70833	1003043	1	7566
PH0057-C	PF0028-C	1	92914	530064	1	3541
PH0057-C	PF0028-C	1	530243	530870	0	47
PH0057-C	PF0028-C	1	531130	575873	1	685
PH0057-C	PF0028-C	2	106099	840376	1	5803
PH0057-C	PF0028-C	2	840472	842893	0	58
PH0057-C	PF0028-C	2	843015	848371	1	123
PH0057-C	PF0028-C	2	848452	850418	0	48
PH0057-C	PF0028-C	2	850734	862490	1	284
PH0057-C	PF0028-C	3	70833	1003043	1	7566
PH0057-C	PF0031-C	1	92914	575873	1	4273
PH0057-C	PF0031-C	2	106099	848371	1	5984
PH0057-C	PF0031-C	2	848452	850418	0	48
PH0057-C	PF0031-C	2	850734	862490	1	284
PH0057-C	PF0031-C	3	70833	1003043	1	7566
PH0057-C	PF0032-C	1	92914	575873	1	4273
PH0057-C	PF0032-C	2	106099	862490	1	6316
PH0057-C	PF0032-C	3	70833	1003043	1	7566
PH0057-C	PF0035-C	1	92914	575873	1	4273
PH0057-C	PF0035-C	2	106099	862490	1	6316
PH0057-C	PF0035-C	3	70833	1003043	1	7566
PH0057-C	PF0037-C	1	92914	575873	1	4273
PH0057-C	PF0037-C	2	106099	848371	1	5984
PH0057-C	PF0037-C	2	848452	850418	0	48
PH0057-C	PF0037-C	2	850734	862490	1	284
PH0057-C	PF0037-C	3	70833	1003043	1	7566
PH0059-C	PF0008-C	1	92914	575873	1	4273
PH0059-C	PF0008-C	2	106099	862490	1	6316
PH0059-C	PF0008-C	3	70833	1003043	1	7566
PH0059-C	PF0011-C	1	92914	575873	1	4273
PH0059-C	PF0011-C	2	106099	862490	1	6316
PH0059-C	PF0011-C	3	70833	1003043	1	7566
PH0059-C	PF0020-C	1	92914	575873	1	4273
PH0059-C	PF0020-C	2	106099	862490	1	6316
PH0059-C	PF0020-C	3	70833	1003043	1	7566
PH0059-C	PF0022-C	1	92914	575873	1	4273
PH0059-C	PF0022-C	2	106099	847713	1	5966
PH0059-C	PF0022-C	2	847927	851287	0	77
PH0059-C	PF0022-C	2	851474	862490	1	273
PH0059-C	PF0022-C	3	70833	1003043	1	7566
PH0059-C	PF0025-C	1	92914	575873	1	4273
PH0059-C	PF0025-C	2	106099	862490	1	6316
PH0059-C	PF0025-C	3	70833	1003043	1	7566
PH0059-C	PF0028-C	1	92914	575873	1	4273
PH0059-C	PF0028-C	2	106099	862490	1	6316
PH0059-C	PF0028-C	3	70833	1003043	1	7566
PH0059-C	PF0031-C	1	92914	575873	1	4273
PH0059-C	PF0031-C	2	106099	862490	1	6316
PH0059-C	PF0031-C	3	70833	1003043	1	7566
PH0059-C	PF0032-C	1	92914	575873	1	4273
PH0059-C	PF0032-C	2	106099	862490	1	6316
PH0059-C	PF0032-C	3	70833	1003043	1	7566
PH0059-C	PF0035-C	1	92914	575873	1	4273
PH0059-C	PF0035-C	2	106099	862490	1	6316
PH0059-C	PF0035-C	3	70833	1003043	1	7566
PH0059-C	PF0037-C	1	92914	575873	1	4273
PH0059-C	PF0037-C	2	106099	862490	1	6316
PH0059-C	PF0037-C	3	70833	1003043	1	7566
PH0060-C	PF0008-C	1	92914	575873	1	4273
PH0060-C	PF0008-C	2	106099	862490	1	6316
PH0060-C	PF0008-C	3	70833	1003043	1	7566
PH0060-C	PF0011-C	1	92914	575873	1	4273
PH0060-C	PF0011-C	2	106099	862490	1	6316
PH0060-C	PF0011-C	3	70833	1003043	1	7566
PH0060-C	PF0020-C	1	92914	575873	1	4273
PH0060-C	PF0020-C	2	106099	862490	1	6316
PH0060-C	PF0020-C	3	70833	1003043	1	7566
PH0060-C	PF0022-C	1	92914	575873	1	4273
PH0060-C	PF0022-C	2	106099	862490	1	6316
PH0060-C	PF0022-C	3	70833	1003043	1	7566
PH0060-C	PF0025-C	1	92914	575873	1	4273
PH0060-C	PF0025-C	2	106099	862490	1	6316
PH0060-C	PF0025-C	3	70833	1003043	1	7566
PH0060-C	PF0028-C	1	92914	575873	1	4273
PH0060-C	PF0028-C	2	106099	862490	1	6316
PH0060-C	PF0028-C	3	70833	1003043	1	7566
PH0060-C	PF0031-C	1	92914	575873	1	4273
PH0060-C	PF0031-C	2	106099	862490	1	6316
PH0060-C	PF0031-C	3	70833	1003043	1	7566
PH0060-C	PF0032-C	1	92914	575873	1	4273
PH0060-C	PF0032-C	2	106099	862490	1	6316
PH0060-C	PF0032-C	3	70833	1003043	1	7566
PH0060-C	PF0035-C	1	92914	575873	1	4273
PH0060-C	PF0035-C	2	106099	862490	1	6316
PH0060-C	PF0035-C	3	70833	1003043	1	7566
PH0060-C	PF0037-C	1	92914	575873	1	4273
PH0060-C	PF0037-C	2	106099	862490	1	6316
PH0060-C	PF0037-C	3	70833	1003043	1	7566
PH0064-C	PF0008-C	1	92914	575873	1	4273
PH0064-C	PF0008-C	2	106099	862490	1	6316
PH0064-C	PF0008-C	3	70833	1003043	1	7566
PH0064-C	PF0011-C	1	92914	575873	1	4273
PH0064-C	PF0011-C	2	106099	862490	1	6316
PH0064-C	PF0011-C	3	70833	1003043	1	7566
PH0064-C	PF0020-C	1	92914	575873	1	4273
PH0064-C	PF0020-C	2	106099	862490	1	6316
PH0064-C	PF0020-C	3	70833	1003043	1	7566
PH0064-C	PF0022-C	1	92914	575873	1	4273
PH0064-C	PF0022-C	2	106099	862490	1	6316
PH0064-C	PF0022-C	3	70833	1003043	1	7566
PH0064-C	PF0025-C	1	92914	575873	1	4273
PH0064-C	PF0025-C	2	106099	862490	1	6316
PH0064-C	PF0025-C	3	70833	1003043	1	7566
PH0064-C	PF0028-C	1	92914	575873	1	4273
PH0064-C	PF0028-C	2	106099	862490	1	6316
PH0064-C	PF0028-C	3	70833	1003043	1	7566
PH0064-C	PF0031-C	1	92914	575873	1	4273
PH0064-C	PF0031-C	2	106099	862490	1	6316
PH0064-C	PF0031-C	3	70833	1003043	1	7566
PH0064-C	PF0032-C	1	92914	575873	1	4273
PH0064-C	PF0032-C	2	106099	862490	1	6316
PH0064-C	PF0032-C	3	70833	1003043	1	7566
PH0064-C	PF0035-C	1	92914	575873	1	4273
PH0064-C	PF0035-C	2	106099	862490	1	6316
PH0064-C	PF0035-C	3	70833	1003043	1	7566
PH0064-C	PF0037-C	1	92914	575873	1	4273
PH0064-C	PF0037-C	2	106099	862490	1	6316
PH0064-C	PF0037-C	3	70833	1003043	1	7566
PH0163-C	PF0008-C	1	92914	575873	1	4273
PH0163-C	PF0008-C	2	106099	862490	1	6316
PH0163-C	PF0008-C	3	70833	1003043	1	7566
PH0163-C	PF0011-C	1	92914	575873	1	4273
PH0163-C	PF0011-C	2	106099	848047	1	5969
PH0163-C	PF0011-C	2	848060	853263	0	101
PH0163-C	PF0011-C	2	853516	862490	1	246
PH0163-C	PF0011-C	3	70833	1003043	1	7566
PH0163-C	PF0020-C	1	92914	575873	1	4273
PH0163-C	PF0020-C	2	106099	862490	1	6316
PH0163-C	PF0020-C	3	70833	1003043	1	7566
PH0163-C	PF0022-C	1	92914	575873	1	4273
PH0163-C	PF0022-C	2	106099	862490	1	6316
PH0163-C	PF0022-C	3	70833	1003043	1	7566
PH0163-C	PF0025-C	1	92914	575873	1	4273
PH0163-C	PF0025-C	2	106099	862490	1	6316
PH0163-C	PF0025-C	3	70833	1003043	1	7566
PH0163-C	PF0028-C	1	92914	575873	1	4273
PH0163-C	PF0028-C	2	106099	862490	1	6316
PH0163-C	PF0028-C	3	70833	1003043	1	7566
PH0163-C	PF0031-C	1	92914	575873	1	4273
PH0163-C	PF0031-C	2	106099	862490	1	6316
PH0163-C	PF0031-C	3	70833	1003043	1	7566
PH0163-C	PF0032-C	1	92914	575873	1	4273
PH0163-C	PF0032-C	2	106099	862490	1	6316
PH0163-C	PF0032-C	3	70833	1003043	1	7566
PH0163-C	PF0035-C	1	92914	575873	1	4273
PH0163-C	PF0035-C	2	106099	862490	1	6316
PH0163-C	PF0035-C	3	70833	1003043	1	7566
PH0163-C	PF0037-C	1	92914	575873	1	4273
PH0163-C	PF0037-C	2	106099	862490	1	6316
PH0163-C	PF0037-C	3	70833	1003043	1	7566
PH0167-C	PF0008-C	1	92914	575873	1	4273
PH0167-C	PF0008-C	2	106099	862490	1	6316
PH0167-C	PF0008-C	3	70833	1003043	1	7566
PH0167-C	PF0011-C	1	92914	575873	1	4273
PH0167-C	PF0011-C	2	106099	848047	1	5969
PH0167-C	PF0011-C	2	848060	853263	0	101
PH0167-C	PF0011-C	2	853516	862490	1	246
PH0167-C	PF0011-C	3	70833	1003043	1	7566
PH0167-C	PF0020-C	1	92914	575873	1	4273
PH0167-C	PF0020-C	2	106099	862490	1	6316
PH0167-C	PF0020-C	3	70833	1003043	1	7566
PH0167-C	PF0022-C	1	92914	575873	1	4273
PH0167-C	PF0022-C	2	106099	862490	1	6316
PH0167-C	PF0022-C	3	70833	1003043	1	7566
PH0167-C	PF0025-C	1	92914	575873	1	4273
PH0167-C	PF0025-C	2	106099	862490	1	6316
PH0167-C	PF0025-C	3	70833	1003043	1	7566
PH0167-C	PF0028-C	1	92914	575873	1	4273
PH0167-C	PF0028-C	2	106099	862490	1	6316
PH0167-C	PF0028-C	3	70833	1003043	1	7566
PH0167-C	PF0031-C	1	92914	575873	1	4273
PH0167-C	PF0031-C	2	106099	862490	1	6316
PH0167-C	PF0031-C	3	70833	1003043	1	7566
PH0167-C	PF0032-C	1	92914	575873	1	4273
PH0167-C	PF0032-C	2	106099	862490	1	6316
PH0167-C	PF0032-C	3	70833	1003043	1	7566
PH0167-C	PF0035-C	1	92914	575873	1	4273
PH0167-C	PF0035-C	2	106099	862490	1	6316
PH0167-C	PF0035-C	3	70833	1003043	1	7566
PH0167-C	PF0037-C	1	92914	575873	1	4273
PH0167-C	PF0037-C	2	106099	862490	1	6316
PH0167-C	PF0037-C	3	70833	1003043	1	7566
PH0171-C	PF0008-C	1	92914	575873	1	4273
PH0171-C	PF0008-C	2	106099	862490	1	6316
PH0171-C	PF0008-C	3	70833	1003043	1	7566
PH0171-C	PF0011-C	1	92914	575873	1	4273
PH0171-C	PF0011-C	2	106099	862490	1	6316
PH0171-C	PF0011-C	3	70833	1003043	1	7566
PH0171-C	PF0020-C	1	92914	575873	1	4273
PH0171-C	PF0020-C	2	106099	862490	1	6316
PH0171-C	PF0020-C	3	70833	1003043	1	7566
PH0171-C	PF0022-C	1	92914	575873	1	4273
PH0171-C	PF0022-C	2	106099	862490	1	6316
PH0171-C	PF0022-C	3	70833	1003043	1	7566
PH0171-C	PF0025-C	1	92914	575873	1	4273
PH0171-C	PF0025-C	2	106099	862490	1	6316
PH0171-C	PF0025-C	3	70833	1003043	1	7566
PH0171-C	PF0028-C	1	92914	575873	1	4273
PH0171-C	PF0028-C	2	106099	862490	1	6316
PH0171-C	PF0028-C	3	70833	1003043	1	7566
PH0171-C	PF0031-C	1	92914	575873	1	4273
PH0171-C	PF0031-C	2	106099	862490	1	6316
PH0171-C	PF0031-C	3	70833	1003043	1	7566
PH0171-C	PF0032-C	1	92914	575873	1	4273
PH0171-C	PF0032-C	2	106099	862490	1	6316
PH0171-C	PF0032-C	3	70833	1003043	1	7566
PH0171-C	PF0035-C	1	92914	575873	1	4273
PH0171-C	PF0035-C	2	106099	862490	1	6316
PH0171-C	PF0035-C	3	70833	1003043	1	7566
PH0171-C	PF0037-C	1	92914	575873	1	4273
PH0171-C	PF0037-C	2	106099	862490	1	6316
PH0171-C	PF0037-C	3	70833	1003043	1	7566
